customer_id,signup_date,location
C00268,2024-05-18,Davao
C00269,2024-09-01,Laguna
C00270,2024-08-24,Cavite
C00271,2024-04-27,Manila
C00272,2024-01-10,Davao
C00273,2024-03-01,Cebu
C00274,2025-01-18,Laguna
C00275,2024-06-16,Davao
C00276,2024-07-11,Laguna
C00277,2024-07-05,Cavite
C00278,2024-11-09,Laguna
C00279,2024-01-26,Cavite
C00280,2024-02-03,Cavite
C00281,2024-04-20,Laguna
C00282,2024-07-13,Cebu
C00283,2024-09-25,Cebu
C00284,2024-07-15,Cebu
C00285,2024-06-25,Laguna
C00286,2025-01-10,Cavite
C00287,2024-03-05,Cebu
C00288,2024-08-16,Davao
C00289,2024-08-04,Davao
C00290,2024-07-08,Laguna
C00291,2024-11-19,Cavite
C00292,2024-04-16,Davao
C00293,2025-01-16,Cebu
C00294,2024-05-12,Cebu
C00295,2024-08-06,Davao
C00296,2024-07-27,Davao
C00297,2024-12-05,Manila
C00298,2024-06-24,Cavite
C00299,2024-04-23,Cavite
C00300,2024-01-09,Cebu
C00301,2024-05-25,Cavite
C00302,2024-11-26,Cebu
C00303,2024-01-04,Davao
C00304,2024-12-24,Manila
C00305,2024-08-05,Laguna
C00306,2024-02-26,Davao
C00307,2024-04-30,Cebu
C00308,2024-08-09,Cebu
C00309,2024-05-06,Cavite
C00310,2024-02-13,Laguna
C00311,2024-09-23,Manila
C00312,2024-09-25,Manila
C00313,2024-02-17,Manila
C00314,2024-04-22,Cebu
C00315,2024-04-07,Laguna
C00316,2024-09-20,Manila
C00317,2024-10-19,Cebu
C00318,2024-10-17,Manila
C00319,2025-01-10,Laguna
C00320,2024-11-03,Cavite
C00321,2024-05-08,Davao
C00322,2024-02-13,Cavite
C00323,2024-09-02,Laguna
C00324,2025-01-01,Laguna
C00325,2025-01-25,Cebu
C00326,2024-04-02,Cavite
C00327,2024-04-04,Laguna
C00328,2024-01-15,Manila
C00329,2024-02-26,Manila
C00330,2024-08-09,Cavite
C00331,2024-08-06,Cebu
C00332,2024-05-28,Davao
C00333,2024-05-03,Laguna
C00334,2024-11-27,Laguna
C00335,2024-07-03,Manila
C00336,2024-11-19,Laguna
C00337,2025-01-20,Cavite
C00338,2024-05-06,Cebu
C00339,2024-03-22,Davao
C00340,2025-01-16,Cebu
C00341,2024-09-10,Laguna
C00342,2024-04-26,Manila
C00343,2024-09-05,Davao
C00344,2024-07-25,Davao
C00345,2024-12-28,Laguna
C00346,2024-04-12,Davao
C00347,2025-01-31,Cavite
C00348,2025-01-09,Cavite
C00349,2024-03-13,Cebu
C00350,2024-03-06,Manila
C00351,2024-08-01,Davao
C00352,2024-01-18,Davao
C00353,2024-04-29,Laguna
C00354,2024-06-23,Davao
C00355,2025-01-22,Davao
C00356,2025-01-31,Manila
C00357,2024-03-01,Laguna
C00358,2024-12-22,Cebu
C00359,2024-02-06,Cebu
C00360,2024-10-26,Davao
C00361,2024-12-04,Manila
C00362,2024-12-22,Davao
C00363,2024-03-30,Cebu
C00364,2024-12-23,Cebu
C00365,2024-02-16,Cebu
C00366,2024-07-26,Manila
C00367,2024-07-06,Cavite
C00368,2024-05-06,Cebu
C00369,2024-01-09,Cavite
C00370,2024-11-04,Cavite
C00371,2024-05-14,Davao
C00372,2024-09-21,Cavite
C00373,2024-06-13,Cebu
C00374,2024-05-29,Manila
C00375,2024-12-20,Cavite
C00376,2024-02-07,Laguna
C00377,2024-10-21,Laguna
C00378,2024-10-25,Cavite
C00379,2024-05-31,Manila
C00380,2024-04-14,Manila
C00381,2024-01-03,Cavite
C00382,2025-01-09,Manila
C00383,2025-01-14,Davao
C00384,2024-04-06,Manila
C00385,2024-01-13,Cebu
C00386,2024-02-19,Manila
C00387,2024-01-28,Cebu
C00388,2024-11-28,Cavite
C00389,2024-12-22,Cebu
C00390,2024-03-02,Cavite
C00391,2024-10-25,Cavite
C00392,2024-03-12,Davao
C00393,2024-05-26,Davao
C00394,2024-08-27,Cebu
C00395,2024-10-14,Laguna
C00396,2024-12-15,Cavite
C00397,2024-01-18,Cavite
C00398,2024-03-19,Manila
C00399,2024-04-22,Laguna
C00400,2024-05-04,Manila
C00401,2025-02-03,Davao
C00402,2024-11-06,Manila
C00403,2024-05-08,Davao
C00404,2025-01-23,Cavite
C00405,2024-07-18,Cavite
C00406,2024-07-19,Laguna
C00407,2024-06-22,Davao
C00408,2024-02-27,Laguna
C00409,2025-01-08,Manila
C00410,2024-01-06,Laguna
C00411,2024-03-10,Laguna
C00412,2024-04-01,Manila
C00413,2024-04-21,Laguna
C00414,2024-02-22,Cebu
C00415,2024-01-08,Davao
C00416,2024-09-28,Cavite
C00417,2025-01-22,Cebu
C00418,2024-02-18,Cavite
C00419,2024-04-28,Davao
C00420,2024-07-21,Davao
C00421,2025-01-06,Manila
C00422,2024-10-04,Manila
C00423,2024-11-02,Cebu
C00424,2024-08-20,Cavite
C00425,2024-06-15,Cebu
C00426,2024-03-20,Cebu
C00427,2024-12-11,Cavite
C00428,2024-11-17,Cebu
C00429,2024-01-11,Cavite
C00430,2024-10-13,Manila
C00431,2024-02-03,Manila
C00432,2024-10-22,Manila
C00433,2024-11-26,Manila
C00434,2024-02-22,Laguna
C00435,2024-06-22,Manila
C00436,2024-02-19,Laguna
C00437,2024-08-14,Davao
C00438,2025-01-06,Cebu
C00439,2024-02-02,Manila
C00440,2024-06-08,Manila
C00441,2025-01-24,Manila
C00442,2024-04-30,Davao
C00443,2024-02-22,Cavite
C00444,2024-07-14,Davao
C00445,2024-07-22,Laguna
C00446,2024-09-22,Cebu
C00447,2024-05-05,Manila
C00448,2025-01-17,Cebu
C00449,2024-07-27,Davao
C00450,2024-04-24,Cavite
C00451,2025-01-19,Cebu
C00452,2025-01-04,Cavite
C00453,2024-07-18,Laguna
C00454,2024-01-10,Cebu
C00455,2024-08-26,Laguna
C00456,2024-08-10,Laguna
C00457,2024-02-29,Laguna
C00458,2024-09-10,Cavite
C00459,2024-12-02,Laguna
C00460,2024-02-12,Manila
C00461,2024-10-16,Cebu
C00462,2024-02-26,Cavite
C00463,2024-10-26,Cebu
C00464,2024-06-16,Davao
C00465,2024-01-03,Davao
C00466,2025-01-21,Davao
C00467,2024-03-07,Cavite
C00468,2024-08-26,Davao
C00469,2024-03-13,Manila
C00470,2025-01-08,Cebu
C00471,2024-10-22,Laguna
C00472,2024-11-17,Laguna
C00473,2024-06-21,Laguna
C00474,2024-07-05,Laguna
C00475,2024-09-10,Cebu
C00476,2024-11-09,Manila
C00477,2024-12-04,Cavite
C00478,2024-01-08,Davao
C00479,2024-09-22,Laguna
C00480,2024-02-13,Cavite
C00481,2024-04-25,Manila
C00482,2024-11-27,Cavite
C00483,2024-04-10,Cebu
C00484,2024-11-14,Laguna
C00485,2024-07-04,Cebu
C00486,2024-04-03,Manila
C00487,2024-05-13,Cavite
C00488,2024-07-31,Cebu
C00489,2024-11-02,Manila
C00490,2024-08-30,Manila
C00491,2025-01-08,Cavite
C00492,2024-12-13,Cavite
C00493,2024-10-28,Laguna
C00494,2024-08-29,Laguna
C00495,2024-04-25,Laguna
C00496,2024-06-14,Cavite
C00497,2024-02-17,Manila
C00498,2024-05-29,Manila
C00499,2025-01-05,Laguna
C00500,2024-06-19,Cavite
C00501,2024-02-15,Davao
C00502,2024-09-17,Cavite
C00503,2025-01-20,Davao
C00504,2024-12-12,Laguna
C00505,2024-04-19,Davao
C00506,2024-06-30,Cavite
C00507,2024-07-31,Laguna
C00508,2024-04-09,Davao
C00509,2024-04-17,Cebu
C00510,2024-04-04,Cebu
C00511,2025-02-01,Manila
C00512,2024-10-25,Manila
C00513,2024-12-02,Davao
C00514,2024-11-22,Manila
C00515,2025-01-18,Davao
C00516,2024-02-12,Manila
C00517,2024-12-18,Manila
C00518,2024-01-27,Laguna
C00519,2024-07-09,Manila
C00520,2024-08-25,Cebu
C00521,2024-05-23,Manila
C00522,2024-02-28,Manila
C00523,2024-03-17,Cebu
C00524,2024-11-25,Manila
C00525,2024-05-07,Manila
C00526,2024-05-04,Laguna
C00527,2025-01-04,Manila
C00528,2024-02-27,Cavite
C00529,2025-01-01,Davao
C00530,2025-01-03,Davao
C00531,2024-08-27,Cavite
C00532,2024-03-07,Laguna
C00533,2024-03-03,Davao
C00534,2024-04-23,Cavite
C00535,2024-08-18,Davao
C00536,2024-03-02,Laguna
C00537,2024-07-01,Cavite
C00538,2024-02-16,Laguna
C00539,2024-08-04,Davao
C00540,2024-01-09,Laguna
C00541,2024-10-10,Laguna
C00542,2024-01-23,Cavite
C00543,2024-03-18,Laguna
C00544,2024-03-10,Cebu
C00545,2024-11-28,Manila
C00546,2024-01-22,Laguna
C00547,2024-06-20,Davao
C00548,2024-08-24,Davao
C00549,2024-07-25,Cavite
C00550,2024-09-29,Manila
C00551,2024-11-17,Manila
C00552,2024-06-06,Laguna
C00553,2024-11-27,Cavite
C00554,2024-05-07,Cavite
C00555,2025-01-28,Cavite
C00556,2024-07-20,Cavite
C00557,2024-10-21,Laguna
C00558,2024-12-16,Cavite
C00559,2024-11-13,Cebu
C00560,2024-12-06,Laguna
C00561,2024-08-02,Manila
C00562,2024-01-18,Davao
C00563,2024-07-16,Cebu
C00564,2024-03-13,Cavite
C00565,2024-12-21,Davao
C00566,2024-04-04,Cebu
C00567,2024-04-01,Davao
C00568,2024-04-09,Manila
C00569,2024-09-14,Manila
C00570,2024-08-16,Davao
C00571,2025-01-14,Laguna
C00572,2024-06-15,Davao
C00573,2024-04-22,Manila
C00574,2024-01-20,Laguna
C00575,2024-01-03,Manila
C00576,2024-05-29,Cavite
C00577,2025-01-05,Manila
C00578,2024-07-28,Manila
C00579,2024-12-23,Davao
C00580,2024-02-10,Cavite
C00581,2024-02-07,Laguna
C00582,2024-11-29,Laguna
C00583,2024-02-12,Manila
C00584,2024-01-21,Cavite
C00585,2024-06-10,Manila
C00586,2025-01-04,Cebu
C00587,2024-10-02,Laguna
C00588,2024-02-09,Laguna
C00589,2024-11-30,Laguna
C00590,2024-12-03,Laguna
C00591,2024-11-16,Cavite
C00592,2024-12-27,Davao
C00593,2024-04-05,Cavite
C00594,2025-01-26,Manila
C00595,2024-05-08,Manila
C00596,2024-11-16,Manila
C00597,2024-08-19,Cebu
C00598,2024-11-07,Manila
C00599,2024-09-08,Cavite
C00600,2024-09-13,Davao
C00601,2024-09-03,Davao
C00602,2024-11-07,Laguna
C00603,2024-10-22,Cebu
C00604,2024-02-23,Davao
C00605,2024-11-26,Manila
C00606,2024-08-02,Laguna
C00607,2024-05-09,Cavite
C00608,2024-07-24,Manila
C00609,2025-01-21,Manila
C00610,2024-12-09,Manila
C00611,2024-11-29,Laguna
C00612,2024-07-04,Laguna
C00613,2024-11-09,Cavite
C00614,2024-06-03,Laguna
C00615,2024-10-01,Davao
C00616,2024-09-12,Laguna
C00617,2024-04-09,Cebu
C00618,2024-04-16,Laguna
C00619,2024-01-25,Manila
C00620,2024-02-25,Cavite
C00621,2024-06-22,Manila
C00622,2024-07-10,Cavite
C00623,2024-03-07,Davao
C00624,2024-06-15,Laguna
C00625,2024-08-29,Manila
C00626,2024-04-03,Cebu
C00627,2024-05-15,Cavite
C00628,2024-05-27,Manila
C00629,2024-07-21,Manila
C00630,2024-05-26,Laguna
C00631,2024-10-21,Cavite
C00632,2024-05-10,Davao
C00633,2024-06-22,Manila
C00634,2024-05-31,Manila
C00635,2024-03-14,Cavite
C00636,2024-10-01,Cebu
C00637,2024-04-04,Davao
C00638,2024-04-28,Cavite
C00639,2024-11-13,Cebu
C00640,2025-01-14,Manila
C00641,2024-09-25,Cavite
C00642,2025-01-01,Laguna
C00643,2024-12-07,Laguna
C00644,2024-07-11,Cavite
C00645,2024-11-04,Laguna
C00646,2024-05-11,Laguna
C00647,2024-07-03,Cebu
C00648,2024-08-02,Manila
C00649,2025-01-19,Laguna
C00650,2024-12-05,Cavite
C00651,2024-07-14,Laguna
C00652,2024-09-18,Laguna
C00653,2024-03-21,Laguna
C00654,2024-11-17,Cebu
C00655,2024-08-09,Manila
C00656,2024-08-01,Laguna
C00657,2024-11-02,Cavite
C00658,2024-09-10,Manila
C00659,2024-01-29,Manila
C00660,2024-04-25,Laguna
C00661,2024-03-11,Davao
C00662,2024-10-20,Cavite
C00663,2024-01-15,Davao
C00664,2024-03-21,Davao
C00665,2024-08-26,Manila
C00666,2024-10-04,Cavite
C00667,2024-07-20,Cebu
C00668,2024-12-10,Davao
C00669,2025-01-02,Laguna
C00670,2024-02-22,Cavite
C00671,2025-01-16,Laguna
C00672,2024-09-02,Laguna
C00673,2024-09-11,Manila
C00674,2024-02-08,Manila
C00675,2024-09-05,Cavite
C00676,2024-10-17,Cavite
C00677,2024-08-20,Laguna
C00678,2024-02-03,Cavite
C00679,2024-07-28,Cebu
C00680,2025-01-09,Cebu
C00681,2024-10-16,Manila
C00682,2024-02-24,Laguna
C00683,2025-01-18,Laguna
C00684,2025-01-18,Cebu
C00685,2024-03-08,Cavite
C00686,2024-11-16,Manila
C00687,2024-06-11,Laguna
C00688,2024-08-25,Cebu
C00689,2024-06-27,Laguna
C00690,2024-11-09,Davao
C00691,2025-02-02,Cebu
C00692,2024-11-14,Manila
C00693,2025-01-07,Laguna
C00694,2025-01-13,Manila
C00695,2024-02-06,Davao
C00696,2024-04-11,Cavite
C00697,2024-10-15,Cavite
C00698,2024-08-24,Davao
C00699,2024-01-21,Laguna
C00700,2024-02-08,Cavite
C00701,2024-07-27,Laguna
C00702,2024-09-03,Cebu
C00703,2024-03-08,Cavite
C00704,2024-03-09,Manila
C00705,2024-02-21,Davao
C00706,2024-08-13,Laguna
C00707,2024-01-04,Davao
C00708,2024-08-16,Cebu
C00709,2024-07-09,Davao
C00710,2024-07-05,Davao
C00711,2024-09-28,Laguna
C00712,2024-07-28,Cavite
C00713,2024-10-18,Laguna
C00714,2024-11-01,Cebu
C00715,2025-01-03,Manila
C00716,2024-11-15,Davao
C00717,2024-07-26,Cavite
C00718,2024-07-15,Laguna
C00719,2024-04-04,Cebu
C00720,2024-08-27,Manila
C00721,2024-02-25,Cebu
C00722,2025-01-07,Laguna
C00723,2024-12-04,Laguna
C00724,2024-02-17,Davao
C00725,2024-11-10,Cebu
C00726,2024-02-16,Manila
C00727,2024-10-15,Cavite
C00728,2024-02-05,Davao
C00729,2024-07-14,Laguna
C00730,2024-09-20,Davao
C00731,2024-10-18,Davao
C00732,2024-06-16,Laguna
C00733,2025-01-03,Cebu
C00734,2024-11-05,Cavite
C00735,2024-03-24,Davao
C00736,2024-09-25,Laguna
C00737,2024-10-19,Cavite
C00738,2024-05-13,Cebu
C00739,2024-10-22,Cebu
C00740,2024-12-25,Cavite
C00741,2024-11-22,Laguna
C00742,2024-11-01,Laguna
C00743,2024-09-10,Cavite
C00744,2024-04-18,Manila
C00745,2024-11-14,Cavite
C00746,2024-05-25,Manila
C00747,2024-07-31,Manila
C00748,2024-05-05,Cebu
C00749,2024-05-05,Manila
C00750,2024-03-04,Manila
C00751,2025-01-19,Manila
C00752,2024-02-29,Davao
C00753,2024-02-04,Cebu
C00754,2025-01-09,Cebu
C00755,2024-08-10,Manila
C00756,2024-06-24,Cavite
C00757,2024-10-21,Cebu
C00758,2024-06-02,Davao
C00759,2024-02-21,Manila
C00760,2024-10-18,Cebu
C00761,2024-03-11,Cebu
C00762,2024-08-09,Cavite
C00763,2025-01-14,Manila
C00764,2025-01-09,Davao
C00765,2024-05-24,Davao
C00766,2024-11-08,Manila
C00767,2024-09-02,Cebu
C00768,2024-07-10,Manila
C00769,2024-02-25,Manila
C00770,2024-05-30,Laguna
C00771,2024-09-17,Davao
C00772,2025-01-29,Davao
C00773,2024-01-02,Cebu
C00774,2024-10-14,Laguna
C00775,2024-12-04,Cavite
C00776,2025-01-15,Cavite
C00777,2024-06-18,Manila
C00778,2024-02-17,Laguna
C00779,2024-04-18,Cebu
C00780,2024-12-06,Cavite
C00781,2024-12-17,Davao
C00782,2024-09-11,Laguna
C00783,2024-02-19,Davao
C00784,2024-02-18,Laguna
C00785,2024-07-10,Cavite
C00786,2024-08-23,Manila
C00787,2024-01-13,Cavite
C00788,2024-10-01,Davao
C00789,2024-08-05,Manila
C00790,2024-01-05,Davao
C00791,2024-02-08,Manila
C00792,2024-06-30,Davao
C00793,2024-10-16,Davao
C00794,2024-11-26,Cebu
C00795,2024-06-21,Davao
C00796,2024-04-28,Laguna
C00797,2025-01-22,Cavite
C00798,2024-07-02,Cebu
C00799,2024-05-06,Manila
C00800,2024-06-25,Davao
C00801,2024-01-05,Cavite
C00802,2024-04-30,Cebu
C00803,2024-07-25,Manila
C00804,2025-01-02,Cavite
C00805,2024-10-22,Davao
C00806,2024-11-08,Cebu
C00807,2024-08-05,Cebu
C00808,2024-02-14,Laguna
C00809,2024-06-05,Manila
C00810,2025-02-02,Laguna
C00811,2024-01-18,Cebu
C00812,2024-12-17,Cebu
C00813,2024-09-30,Cebu
C00814,2024-04-23,Cavite
C00815,2024-11-07,Davao
C00816,2024-11-30,Cavite
C00817,2024-01-18,Cavite
C00818,2024-02-12,Laguna
C00819,2024-09-23,Davao
C00820,2025-02-03,Cavite
C00821,2024-01-10,Davao
C00822,2024-09-23,Davao
C00823,2024-02-24,Cebu
C00824,2024-09-17,Cavite
C00825,2024-09-06,Cebu
C00826,2024-02-06,Cavite
C00827,2024-09-29,Cebu
C00828,2024-12-24,Laguna
C00829,2024-12-11,Cebu
C00830,2024-01-12,Cavite
C00831,2024-04-08,Cavite
C00832,2024-04-06,Laguna
C00833,2024-06-30,Cavite
C00834,2024-02-27,Davao
C00835,2024-12-07,Cavite
C00836,2024-11-06,Davao
C00837,2024-11-19,Manila
C00838,2024-03-20,Davao
C00839,2024-01-06,Manila
C00840,2024-12-30,Laguna
C00841,2024-04-25,Manila
C00842,2024-09-19,Cebu
C00843,2024-12-29,Cavite
C00844,2024-01-15,Laguna
C00845,2024-01-03,Cebu
C00846,2024-01-03,Davao
C00847,2024-03-03,Davao
C00848,2024-01-21,Cebu
C00849,2024-11-23,Laguna
C00850,2024-08-30,Manila
C00851,2025-01-27,Davao
C00852,2024-11-16,Cebu
C00853,2025-01-20,Laguna
C00854,2024-04-05,Laguna
C00855,2024-04-25,Cavite
C00856,2024-12-05,Cebu
C00857,2024-04-07,Cebu
C00858,2024-01-23,Manila
C00859,2024-09-24,Cavite
C00860,2024-11-16,Cebu
C00861,2025-01-22,Laguna
C00862,2025-01-06,Cebu
C00863,2024-02-18,Cebu
C00864,2024-11-04,Cebu
C00865,2024-12-04,Laguna
C00866,2024-10-06,Cebu
C00867,2024-11-23,Cebu
C00868,2024-12-01,Laguna
C00869,2024-06-27,Davao
C00870,2024-01-17,Laguna
C00871,2024-07-01,Manila
C00872,2024-03-21,Cavite
C00873,2024-02-15,Cebu
C00874,2024-02-19,Manila
C00875,2024-10-05,Manila
C00876,2024-07-20,Cebu
C00877,2024-08-03,Davao
C00878,2024-10-25,Manila
C00879,2024-08-07,Laguna
C00880,2024-09-09,Laguna
C00881,2024-02-04,Laguna
C00882,2024-12-06,Manila
C00883,2024-06-28,Manila
C00884,2024-03-03,Cebu
C00885,2024-11-21,Davao
C00886,2024-10-20,Davao
C00887,2024-01-22,Cebu
C00888,2024-03-18,Cebu
C00889,2024-01-07,Davao
C00890,2024-04-18,Davao
C00891,2024-02-09,Davao
C00892,2024-10-10,Laguna
C00893,2024-07-28,Laguna
C00894,2025-01-27,Cavite
C00895,2024-10-26,Cavite
